Name,flying
starly,1
nidoran-m,0
dewpider,0
pichu,0
dragonite,1
mesprit,0
ducklett,1
lanturn,0
staryu,0
sliggoo,0
deino,0
vikavolt,0
slugma,0
vileplume,0
zapdos,1
tirtouga,0
miltank,0
lunala,0
milotic,0
shelmet,0
cobalion,0
giratina-altered,0
blitzle,0
clefairy,0
golbat,1
nincada,0
gabite,0
garchomp,0
finneon,0
cutiefly,0
monferno,0
armaldo,0
buizel,0
uxie,0
necrozma,0
aron,0
dodrio,1
helioptile,0
omanyte,0
vanillite,0
venipede,0
lickilicky,0
kingler,0
alomomola,0
porygon-z,0
darumaka,0
chikorita,0
klefki,0
marshtomp,0
magikarp,0
weezing,0
dwebble,0
xurkitree,0
cherubi,0
octillery,0
avalugg,0
sandygast,0
grumpig,0
palossand,0
mr-mime,0
landorus-incarnate,1
lombre,0
samurott,0
melmetal,0
torterra,0
nuzleaf,0
blissey,0
torchic,0
arbok,0
nidoking,0
tyrogue,0
piloswine,0
cubone,0
mimikyu,0
tapu-lele,0
cradily,0
makuhita,0
azumarill,0
weepinbell,0
duosion,0
salamence,1
alakazam,0
lilligant,0
lileep,0
wigglytuff,0
xerneas,0
hitmontop,0
mothim,1
greninja,0
bouffalant,0
cryogonal,0
ribombee,0
zorua,0
whiscash,0
smoochum,0
malamar,0
buzzwole,0
toxicroak,0
araquanid,0
phione,0
skrelp,0
drifblim,1
gogoat,0
seel,0
wartortle,0
rattata,0
persian,0
vigoroth,0
meditite,0
castform,0
celesteela,1
feraligatr,0
carvanha,0
lopunny,0
rufflet,1
lugia,1
infernape,0
golurk,0
articuno,1
togedemaru,0
heatran,0
ledian,1
trumbeak,1
claydol,0
pyukumuku,0
turtonator,0
crobat,1
minior-meteor,1
rayquaza,1
decidueye,0
yanmega,1
gourgeist-average,0
magearna,0
burmy,0
rockruff,0
sewaddle,0
rhyperior,0
flabebe,0
dustox,0
fomantis,0
ariados,0
silvally,0
dusclops,0
solgaleo,0
clamperl,0
silcoon,0
fletchinder,1
flareon,0
brionne,0
natu,1
purrloin,0
chingling,0
archen,1
hydreigon,0
hypno,0
chatot,1
kyogre,0
dragalge,0
wobbuffet,0
poliwrath,0
diglett,0
audino,0
vanilluxe,0
empoleon,0
unfezant,1
roselia,0
servine,0
bruxish,0
salandit,0
bastiodon,0
kingdra,0
gengar,0
turtwig,0
accelgor,0
feebas,0
maractus,0
elekid,0
illumise,0
delibird,1
krookodile,0
seviper,0
tapu-koko,0
ponyta,0
gumshoos,0
shiinotic,0
golett,0
koffing,0
mankey,0
drampa,0
scizor,0
carracosta,0
munchlax,0
geodude,0
lillipup,0
kabutops,0
oddish,0
darmanitan-standard,0
fletchling,1
morelull,0
ampharos,0
shieldon,0
porygon,0
klinklang,0
clauncher,0
mienfoo,0
teddiursa,0
volcanion,0
masquerain,1
totodile,0
minun,0
magcargo,0
foongus,0
cranidos,0
azurill,0
ursaring,0
sneasel,0
cottonee,0
cloyster,0
scyther,1
excadrill,0
shedinja,0
klink,0
comfey,0
charmeleon,0
primeape,0
registeel,0
braixen,0
crawdaunt,0
machamp,0
sableye,0
igglybuff,0
granbull,0
chimecho,0
vanillish,0
remoraid,0
weavile,0
meowstic-male,0
vespiquen,1
pumpkaboo-average,0
woobat,1
politoed,0
quilava,0
fraxure,0
litten,0
plusle,0
pignite,0
spoink,0
tympole,0
rampardos,0
ninjask,1
spiritomb,0
drowzee,0
tangela,0
combusken,0
shellder,0
naganadel,0
simisage,0
vibrava,0
swablu,1
metang,0
poochyena,0
eevee,0
arcanine,0
gothitelle,0
forretress,0
seadra,0
toxapex,0
mewtwo,0
murkrow,1
dewott,0
diggersby,0
goldeen,0
barboach,0
musharna,0
lurantis,0
misdreavus,0
tranquill,1
leafeon,0
skiddo,0
machop,0
buneary,0
electabuzz,0
delcatty,0
braviary,1
venomoth,0
toucannon,1
lumineon,0
oranguru,0
whirlipede,0
rotom,0
froakie,0
seismitoad,0
glaceon,0
wailord,0
jirachi,0
doublade,0
goodra,0
qwilfish,0
hoopa-confined,0
inkay,0
shellos,0
hawlucha,1
fennekin,0
espeon,0
cherrim,0
snivy,0
nihilego,0
bisharp,0
magmar,0
bibarel,0
sceptile,0
walrein,0
gligar,1
litleo,0
poliwhirl,0
celebi,0
pachirisu,0
flygon,0
mime-jr,0
magneton,0
stunky,0
nidoran-f,0
muk,0
tentacool,0
farfetchd,1
rhyhorn,0
lycanroc-midday,0
frillish,0
corphish,0
barbaracle,0
kakuna,0
durant,0
gothita,0
trubbish,0
croconaw,0
ferrothorn,0
chansey,0
patrat,0
spheal,0
ekans,0
manaphy,0
torkoal,0
galvantula,0
tentacruel,0
espurr,0
cacturne,0
regice,0
hippowdon,0
eelektrik,0
scraggy,0
pidgey,1
primarina,0
sharpedo,0
machoke,0
camerupt,0
dialga,0
spinda,0
trevenant,0
fearow,1
swirlix,0
talonflame,1
jellicent,0
skiploom,1
slowpoke,0
ho-oh,1
grubbin,0
meltan,0
shuppet,0
sandslash,0
pineco,0
cubchoo,0
metagross,0
ninetales,0
lickitung,0
lapras,0
pansage,0
rapidash,0
sawsbuck,0
parasect,0
frogadier,0
poipole,0
heliolisk,0
guzzlord,0
nidorino,0
gliscor,1
mareep,0
exeggutor,0
ralts,0
palpitoad,0
escavalier,0
jangmo-o,0
dewgong,0
donphan,0
elgyem,0
charizard,1
salazzle,0
skarmory,1
deerling,0
tapu-bulu,0
snubbull,0
hitmonchan,0
swanna,1
gurdurr,0
magmortar,0
petilil,0
pheromosa,0
thundurus-incarnate,1
snorunt,0
electrode,0
carnivine,0
absol,0
beldum,0
beartic,0
luvdisc,0
luxio,0
ferroseed,0
binacle,0
cosmog,0
bonsly,0
kricketot,0
bronzor,0
chesnaught,0
zangoose,0
pyroar,0
sylveon,0
linoone,0
slowbro,0
marowak,0
diancie,0
psyduck,0
lotad,0
floatzel,0
mismagius,0
kangaskhan,0
stoutland,0
bronzong,0
emboar,0
exploud,0
surskit,0
sunflora,0
haxorus,0
tynamo,0
breloom,0
duskull,0
roggenrola,0
wingull,1
grotle,0
typhlosion,0
skuntank,0
minccino,0
swoobat,1
magnezone,0
aurorus,0
tsareena,0
omastar,0
zygarde-50,0
prinplup,0
beheeyem,0
solosis,0
bunnelby,0
gigalith,0
volcarona,0
beedrill,0
drapion,0
sealeo,0
bellsprout,0
ledyba,1
golisopod,0
karrablast,0
larvitar,0
quilladin,0
smeargle,0
blacephalon,0
rhydon,0
kyurem,0
crabrawler,0
spewpa,0
wurmple,0
reuniclus,0
raikou,0
togepi,0
carbink,0
starmie,0
taillow,1
nosepass,0
